[2023-05-30 06:12:20] [root | line:28 | __init__] [INFO] - ****** New Game Creating ******
Players joining...There are 4 players in this game.

[2023-05-30 06:12:20] [root | line:41 | shuffle] [INFO] - Shuffling Deck...
[2023-05-30 06:12:20] [root | line:45 | prerequisite] [INFO] - Prerequisite for player#0...

[2023-05-30 06:12:21] [root | line:52 | prerequisite] [INFO] - Drawed Cards: [S[3], D[4], D[5], H[5], C[6], D[9], H[9], H[10], D[J], S[J], D[Q], H[K], D[A]]
[2023-05-30 06:12:21] [root | line:45 | prerequisite] [INFO] - Prerequisite for player#1...

[2023-05-30 06:12:22] [root | line:52 | prerequisite] [INFO] - Drawed Cards: [C[3], S[4], S[7], S[8], C[10], D[10], S[10], H[J], S[Q], C[A], D[2], H[2], S[2]]
[2023-05-30 06:12:22] [root | line:45 | prerequisite] [INFO] - Prerequisite for player#2...

[2023-05-30 06:12:22] [root | line:52 | prerequisite] [INFO] - Drawed Cards: [C[4], D[6], H[6], S[6], D[7], H[7], H[8], C[Q], H[Q], S[K], H[A], S[A], C[2]]
[2023-05-30 06:12:22] [root | line:45 | prerequisite] [INFO] - Prerequisite for player#3...

[2023-05-30 06:12:22] [root | line:52 | prerequisite] [INFO] - Drawed Cards: [D[3], H[3], H[4], C[5], S[5], C[7], C[8], D[8], C[9], S[9], C[J], C[K], D[K]]
[2023-05-30 06:12:22] [root | line:96 | game_process] [INFO] - ***    大老二遊戲開始!    ***

核心規則：首位讓其他三位玩家連續 PASS（出不了更大的牌型）的玩家獲勝!

[2023-05-30 06:12:22] [root | line:59 | decide_first_player] [INFO] - Player: S 擁有梅花 3，首回合從 Player: S 開始出牌
[2023-05-30 06:12:22] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:12:25] [root | line:55 | show_card] [INFO] - [C[3]]
[2023-05-30 06:12:25] [root | line:104 | _show_pattern] [INFO] - Single([C[3]])
[2023-05-30 06:12:25] [root | line:104 | remove_cards] [INFO] - Cards: [C[3]] showed.
[2023-05-30 06:12:25] [root | line:94 | show_pattern] [INFO] - Single([C[3]]) Showed
[2023-05-30 06:12:25] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([C[3]])
[2023-05-30 06:12:25] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: S[K]}, {10: H[A]}, {11: S[A]}, {12: C[2]}]
[2023-05-30 06:12:25] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:12:25] [root | line:101 | detect] [INFO] - qualfied: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: S[K]}, {10: H[A]}, {11: S[A]}, {12: C[2]}]
[2023-05-30 06:12:25] [root | line:127 | show_card] [INFO] - [S[K]]
[2023-05-30 06:12:25] [root | line:186 | _show_pattern] [INFO] - Single([S[K]])
[2023-05-30 06:12:25] [root | line:104 | remove_cards] [INFO] - Cards: [S[K]] showed.
